投手名稱,ERA+,tERA+,出賽場數
德保拉,125.3,122.3,2
黃博多,109.6,107.0,3
鄭凱文,49.0,47.8,1
羅戈,187.2,182.8,2
盧孟揚,74.1,72.3,1
鄭浩均,231.3,225.8,2
李博登,177.4,173.2,1
艾速特,154.7,158.9,4
石萬金,67.4,69.2,2
後勁,182.4,187.3,2
江承諺,81.1,83.2,3
黃子豪,44.3,45.4,1
威能帝,171.4,166.8,3
黃子鵬,84.8,82.6,3
霸鉧德,72.6,70.6,2
波賽樂,88.7,86.3,1
魔神樂,137.6,133.9,3
布雷克,83.5,81.0,1
梅賽斯,134.2,130.1,1
蒙德茲,98.4,95.4,3
胡智爲,84.4,81.9,1
林詔恩,131.7,127.8,3
飛力獅,180.8,175.3,2
郭俊麟,35.8,34.8,1
鋼龍,124.3,115.4,2
龍聖,110.6,102.6,2
艾璞樂,107.5,99.8,1
伍鐸,146.0,135.5,3
王維中,52.8,49.0,2
徐若熙,168.0,155.9,2
