球員名稱,AVG,ISO,OPS+,tOPS+,BABIP,P/PA,Full_PA,End_PA,Full_RE24/PA,End_RE24/PA,,
申皓瑋,0.316,0.158,147.7,158.5,0.363,3.903,197,36,0.035,0.101,,
戴培峰,0.273,0.11,118.2,127.4,0.312,3.994,180,45,0.014,-0.051,,
范國宸,0.291,0.179,141.3,151.8,0.351,3.545,166,67,0.011,0.052,,
董子恩,0.272,0.068,96.5,104.8,0.284,3,161,8,-0.049,-0.008,,平均 ISO：0.091
林澤彬,0.338,0.046,126,135.4,0.376,3.816,147,66,0.012,-0.046,,平均 BABIP：0.300
周佳樂,0.213,0.041,63.8,70.4,0.277,3.825,145,40,-0.072,-0.081,,平均 P/PA：3.754
陳真,0.222,0.13,104.9,113.5,0.289,4.465,131,43,-0.018,0.005,,
孔念恩,0.238,0.095,91.1,99.2,0.338,3.839,118,39,-0.03,0.007,,
高捷,0.211,0.084,69.6,76.7,0.279,3.726,107,69,-0.113,-0.092,,
李宗賢,0.206,0.021,35.3,40.9,0.25,3.833,104,0,-0.048,0,,
高國麟,0.218,0.103,88.1,95.9,0.236,3.922,103,0,-0.059,0,,
林岳谷,0.224,0.092,67.3,74.6,0.254,2.888,80,58,-0.07,-0.028,,
豊暐,0.246,0.087,85.2,93.1,0.302,4.188,80,26,-0.085,0.007,,
王正棠,0.262,0.015,84.2,91.7,0.283,3.618,77,0,-0.059,0,,
王念好,0.179,0.054,49.2,55.3,0.303,3.844,64,15,-0.073,0.037,,
池恩齊,0.264,0.057,80.6,88.3,0.35,3.351,57,0,-0.105,0,,
張育成,0.233,0.209,111.9,121.4,0.219,3.348,46,0,0.022,0,,
劉俊豪,0.238,0.048,59.9,66.7,0.345,3.413,46,23,-0.077,-0.088,,
辛元旭,0.237,0.105,87.1,95.1,0.3,3.317,41,33,-0.08,-0.106,,
張洺瑀,0.171,0.057,24.6,29.9,0.231,4.222,36,0,-0.12,0,,
王勝偉,0.333,0.2,166.1,177.8,0.375,4.063,33,22,-0.015,-0.087,,
葉子霆,0.136,0,3,7,0.167,3.583,24,0,-0.063,0,,
林莛淯,0.077,0,-16,-13,0.125,4.75,17,17,-0.174,-0.174,,
林哲瑄,0.167,0.083,42,48,0.4,4.462,13,0,-0.143,0,,
楊泯貽,0.091,0,-22.4,-19.5,0.1,4.083,12,5,-0.312,-0.446,,
魏全,0,0,-100,-100,0,3.556,9,4,-0.299,-0.311,,
蔡佳諺,0.111,0,-34.3,-31.6,0.143,4.111,9,0,-0.104,0,,
張進德,0.333,0.111,128.1,138,0.375,3.667,9,3,-0.11,0.066,,
陳愷佑,0,0,-100,-100,0,3.167,6,6,-0.199,-0.199,,
潘瑋祥,0,0,-100,-100,0,4,4,2,-0.328,-0.248,,
蕭憶銘,0,0,-100,-100,0,4.667,3,0,-0.26,0,,
