球員名稱,AVG,ISO,OPS+,tOPS+,BABIP,P/PA,Full_PA,End_PA,Full_RE24/PA,End_RE24/PA,,,
張育成,0.305,0.247,181.3,193,0.305,4.013,224,4,0.065,-0.098,,,平均 ISO：0.098
范國宸,0.261,0.178,122.6,131.8,0.281,3.764,204,8,0.013,0.062,,,平均 BABIP：0.296
林岳谷,0.262,0.038,78.1,85.6,0.3,3.513,199,28,-0.043,-0.053,,,平均 P/PA：3.829
林澤彬,0.269,0.069,101.9,110.4,0.317,4.048,165,12,-0.014,-0.065,,,
戴培峰,0.188,0.043,47,53.2,0.234,4.216,155,7,-0.096,0.033,,,
孔念恩,0.229,0.069,63.2,70,0.305,3.611,150,1,-0.08,-0.17,,,
陳真,0.256,0.101,101.6,110,0.316,4.069,144,31,-0.044,0.072,,,
蔡佳諺,0.198,0.113,66.2,73.2,0.29,3.871,117,18,-0.087,-0.009,,,
申皓瑋,0.245,0.17,112.8,121.6,0.306,4.009,116,6,-0.019,-0.126,,,
董子恩,0.278,0.041,101.3,109.7,0.292,3.373,110,35,-0.047,0.035,,,
高捷,0.235,0.062,63.6,70.4,0.345,3.841,89,24,-0.115,-0.139,,,
周佳樂,0.273,0.091,111.4,120.2,0.409,4.188,80,17,-0.053,-0.137,,,
王念好,0.192,0.151,63.7,70.4,0.235,3.91,79,32,-0.064,-0.007,,,
豊暐,0.132,0,-6.6,-2.6,0.173,4.042,73,19,-0.152,-0.142,,,
葉子霆,0.302,0.032,101.8,110.2,0.339,3.464,73,31,0.038,0.01,,,
李宗賢,0.245,0.038,64.4,71.2,0.277,3.411,56,0,-0.137,0,,,
陳愷佑,0.146,0.024,4.6,9,0.167,3.826,46,0,-0.095,0,,,
張進德,0.359,0.103,155.6,166.3,0.371,3.452,43,0,0.034,0,,,
劉俊豪,0.258,0.032,75.7,83.1,0.333,3.424,33,0,-0.052,0,,,
張洺瑀,0.174,0,13.6,18.4,0.286,4.375,25,1,-0.148,-0.244,,,
潘瑋祥,0.412,0.176,212.4,225.3,0.438,3.316,19,19,0.215,0.215,,,
池恩齊,0.357,0.071,123.9,133.2,0.385,2.938,16,16,0.052,0.052,,,
林哲瑄,0,0,-100,-100,0,3.222,9,0,-0.066,0,,,
黃兆維,0.2,0,18.4,23.3,0.333,3.2,5,5,-0.223,-0.223,,,
魏全,0.4,0.2,192.6,204.6,1,5,5,5,0.293,0.293,,,
蕭憶銘,0,0,-100,-100,,4,1,0,-0.246,0,,,
